path,source,role,status
scientific_reports_revision_20260521\release_package\source_data\query_ablation\open_vocab_bridge_v2_by_task.csv,outputs\scirep_query_ablation_20260521\open_vocab_bridge_v2_by_task.csv,source data,included
scientific_reports_revision_20260521\release_package\source_data\query_ablation\open_vocab_bridge_v2_episode_index.csv,outputs\scirep_query_ablation_20260521\open_vocab_bridge_v2_episode_index.csv,source data,included
scientific_reports_revision_20260521\release_package\source_data\query_ablation\open_vocab_bridge_v2_iou_sweep.csv,outputs\scirep_query_ablation_20260521\open_vocab_bridge_v2_iou_sweep.csv,source data,included
scientific_reports_revision_20260521\release_package\source_data\query_ablation\open_vocab_bridge_v2_summary.csv,outputs\scirep_query_ablation_20260521\open_vocab_bridge_v2_summary.csv,source data,included
scientific_reports_revision_20260521\release_package\source_data\query_ablation\open_vocab_bridge_v2_audit.md,outputs\scirep_query_ablation_20260521\open_vocab_bridge_v2_audit.md,audit,included
scientific_reports_revision_20260521\release_package\source_data\target_name_probe\target_name_probe.csv,outputs\ycb_true_name_probe_20260521\target_name_probe.csv,source data,included
scientific_reports_revision_20260521\release_package\source_data\target_name_probe\target_name_probe_summary.csv,outputs\ycb_true_name_probe_20260521\target_name_probe_summary.csv,source data,included
scientific_reports_revision_20260521\release_package\source_data\target_name_probe\target_name_probe_audit.md,outputs\ycb_true_name_probe_20260521\target_name_probe_audit.md,audit,included
scientific_reports_revision_20260521\release_package\source_data\closed_loop_oracle_calibration_v2\closed_loop_diagnostic_vs_task_success.csv,outputs\scirep_closed_loop_oracle_calibration_v2_20260521\smoke\closed_loop_diagnostic_vs_task_success.csv,source data,included
scientific_reports_revision_20260521\release_package\source_data\closed_loop_oracle_calibration_v2\closed_loop_episode_index.csv,outputs\scirep_closed_loop_oracle_calibration_v2_20260521\smoke\closed_loop_episode_index.csv,source data,included
scientific_reports_revision_20260521\release_package\source_data\closed_loop_oracle_calibration_v2\closed_loop_oracle_gate_by_task.csv,outputs\scirep_closed_loop_oracle_calibration_v2_20260521\smoke\closed_loop_oracle_gate_by_task.csv,source data,included
scientific_reports_revision_20260521\release_package\source_data\closed_loop_oracle_calibration_v2\closed_loop_sanity_by_source.csv,outputs\scirep_closed_loop_oracle_calibration_v2_20260521\smoke\closed_loop_sanity_by_source.csv,source data,included
scientific_reports_revision_20260521\release_package\source_data\closed_loop_oracle_calibration_v2\closed_loop_sanity_by_stressor.csv,outputs\scirep_closed_loop_oracle_calibration_v2_20260521\smoke\closed_loop_sanity_by_stressor.csv,source data,included
scientific_reports_revision_20260521\release_package\source_data\closed_loop_oracle_calibration_v2\closed_loop_sanity_by_task.csv,outputs\scirep_closed_loop_oracle_calibration_v2_20260521\smoke\closed_loop_sanity_by_task.csv,source data,included
scientific_reports_revision_20260521\release_package\source_data\closed_loop_oracle_calibration_v2\closed_loop_sanity_summary.csv,outputs\scirep_closed_loop_oracle_calibration_v2_20260521\smoke\closed_loop_sanity_summary.csv,source data,included
scientific_reports_revision_20260521\release_package\source_data\closed_loop_oracle_calibration_v2\closed_loop_target_error_bins.csv,outputs\scirep_closed_loop_oracle_calibration_v2_20260521\smoke\closed_loop_target_error_bins.csv,source data,included
scientific_reports_revision_20260521\release_package\source_data\closed_loop_oracle_calibration_v2\closed_loop_sanity_report.md,outputs\scirep_closed_loop_oracle_calibration_v2_20260521\smoke\closed_loop_sanity_report.md,audit,included
scientific_reports_revision_20260521\release_package\source_data\oracle_failure_breakdown\oracle_breakdown_audit.csv,outputs\scirep_oracle_failure_breakdown_20260521\oracle_breakdown_audit.csv,source data,included
scientific_reports_revision_20260521\release_package\source_data\oracle_failure_breakdown\oracle_episode_index.csv,outputs\scirep_oracle_failure_breakdown_20260521\oracle_episode_index.csv,source data,included
scientific_reports_revision_20260521\release_package\source_data\oracle_failure_breakdown\oracle_failure_breakdown.csv,outputs\scirep_oracle_failure_breakdown_20260521\oracle_failure_breakdown.csv,source data,included
scientific_reports_revision_20260521\release_package\source_data\oracle_failure_breakdown\oracle_success_summary.csv,outputs\scirep_oracle_failure_breakdown_20260521\oracle_success_summary.csv,source data,included
scientific_reports_revision_20260521\release_package\source_data\oracle_failure_breakdown\oracle_failure_breakdown_report.md,outputs\scirep_oracle_failure_breakdown_20260521\oracle_failure_breakdown_report.md,audit,included
scientific_reports_revision_20260521\release_package\source_data\closed_loop_oracle_calibration_v2\report.md,outputs\closed_loop_oracle_calibration_v2_20260521_report.md,audit,included
scientific_reports_revision_20260521\release_package\source_data\target_name_probe\report.md,outputs\open_vocab_true_name_query_ablation_20260521_report.md,audit,included
scientific_reports_revision_20260521\release_package\paper_tables\benchmark_comparison_table.tex,paper\scientific_reports\tables\benchmark_comparison_table.tex,paper table,included
scientific_reports_revision_20260521\release_package\paper_tables\closed_loop_oracle_calibration_v2_gate.tex,paper\scientific_reports\tables\closed_loop_oracle_calibration_v2_gate.tex,paper table,included
scientific_reports_revision_20260521\release_package\paper_tables\closed_loop_smoke_outcome.tex,paper\scientific_reports\tables\closed_loop_smoke_outcome.tex,paper table,included
scientific_reports_revision_20260521\release_package\paper_tables\experiment_design_summary.tex,paper\scientific_reports\tables\experiment_design_summary.tex,paper table,included
scientific_reports_revision_20260521\release_package\paper_tables\main_results_with_ci.tex,paper\scientific_reports\tables\main_results_with_ci.tex,paper table,included
scientific_reports_revision_20260521\release_package\paper_tables\open_vocab_detector_transfer_summary.tex,paper\scientific_reports\tables\open_vocab_detector_transfer_summary.tex,paper table,included
scientific_reports_revision_20260521\release_package\paper_tables\oracle_diagnostic_success_summary.tex,paper\scientific_reports\tables\oracle_diagnostic_success_summary.tex,paper table,included
scientific_reports_revision_20260521\release_package\paper_tables\query_ablation_summary.tex,paper\scientific_reports\tables\query_ablation_summary.tex,paper table,included
scientific_reports_revision_20260521\release_package\paper_tables\stressor_parameter_table.tex,paper\scientific_reports\tables\stressor_parameter_table.tex,paper table,included
scientific_reports_revision_20260521\release_package\paper_tables\target_name_probe_summary.tex,paper\scientific_reports\tables\target_name_probe_summary.tex,paper table,included
scientific_reports_revision_20260521\release_package\paper_tables\threshold_sensitivity.tex,paper\scientific_reports\tables\threshold_sensitivity.tex,paper table,included
scientific_reports_revision_20260521\release_package\figures\maniskill_qualitative_main_figure.png,paper\scientific_reports\figures\maniskill_qualitative_main_figure.png,figure,included
scientific_reports_revision_20260521\release_package\figures\open_vocab_detector_transfer_no_detection.png,paper\scientific_reports\figures\open_vocab_detector_transfer_no_detection.png,figure,included
scientific_reports_revision_20260521\release_package\figures\open_vocab_detector_transfer_success.png,paper\scientific_reports\figures\open_vocab_detector_transfer_success.png,figure,included
scientific_reports_revision_20260521\release_package\figures\protocol_schematic.png,paper\scientific_reports\figures\protocol_schematic.png,figure,included
scientific_reports_revision_20260521\release_package\figures\qualitative_failure_teaser.png,paper\scientific_reports\figures\qualitative_failure_teaser.png,figure,included
scientific_reports_revision_20260521\release_package\figures\maniskill_qualitative_main_figure.pdf,paper\scientific_reports\figures\maniskill_qualitative_main_figure.pdf,figure,included
scientific_reports_revision_20260521\release_package\figures\open_vocab_detector_transfer_no_detection.pdf,paper\scientific_reports\figures\open_vocab_detector_transfer_no_detection.pdf,figure,included
scientific_reports_revision_20260521\release_package\figures\open_vocab_detector_transfer_success.pdf,paper\scientific_reports\figures\open_vocab_detector_transfer_success.pdf,figure,included
scientific_reports_revision_20260521\release_package\figures\protocol_schematic.pdf,paper\scientific_reports\figures\protocol_schematic.pdf,figure,included
scientific_reports_revision_20260521\release_package\figures\qualitative_failure_teaser.pdf,paper\scientific_reports\figures\qualitative_failure_teaser.pdf,figure,included
scientific_reports_revision_20260521\release_package\figures\Clean_success_PickCube_crop_median_depth_grounding_dino_same_shape_distractor_L0_seed5.png,paper\scientific_reports\figures\maniskill_qualitative\maniskill_qualitative\Clean_success_PickCube_crop_median_depth_grounding_dino_same_shape_distractor_L0_seed5.png,figure,included
scientific_reports_revision_20260521\release_package\figures\Depth_invalid_PickClutterYCB_box_center_depth_first_detection_partial_target_occlusion_L3_seed20.png,paper\scientific_reports\figures\maniskill_qualitative\maniskill_qualitative\Depth_invalid_PickClutterYCB_box_center_depth_first_detection_partial_target_occlusion_L3_seed20.png,figure,included
scientific_reports_revision_20260521\release_package\figures\Low_IoU_but_3D_success_PickCube_box_center_depth_grounding_dino_partial_target_occlusion_L2_seed4.png,paper\scientific_reports\figures\maniskill_qualitative\maniskill_qualitative\Low_IoU_but_3D_success_PickCube_box_center_depth_grounding_dino_partial_target_occlusion_L2_seed4.png,figure,included
scientific_reports_revision_20260521\release_package\figures\maniskill_qualitative_figure.png,paper\scientific_reports\figures\maniskill_qualitative\maniskill_qualitative\maniskill_qualitative_figure.png,figure,included
scientific_reports_revision_20260521\release_package\figures\No_detection_PickClutterYCB_crop_trimmed_median_depth_grounding_dino_depth_sparsity_L2_seed35.png,paper\scientific_reports\figures\maniskill_qualitative\maniskill_qualitative\No_detection_PickClutterYCB_crop_trimmed_median_depth_grounding_dino_depth_sparsity_L2_seed35.png,figure,included
scientific_reports_revision_20260521\release_package\figures\Wrong_detection_PickClutterYCB_crop_median_depth_grounding_dino_partial_target_occlusion_L2_seed9.png,paper\scientific_reports\figures\maniskill_qualitative\maniskill_qualitative\Wrong_detection_PickClutterYCB_crop_median_depth_grounding_dino_partial_target_occlusion_L2_seed9.png,figure,included
scientific_reports_revision_20260521\release_package\figures\maniskill_qualitative_main_figure.png,paper\scientific_reports\figures\maniskill_qualitative_main_figure.png,figure,included
scientific_reports_revision_20260521\release_package\figures\open_vocab_detector_transfer_no_detection.png,paper\scientific_reports\figures\open_vocab_detector_transfer_no_detection.png,figure,included
scientific_reports_revision_20260521\release_package\figures\open_vocab_detector_transfer_success.png,paper\scientific_reports\figures\open_vocab_detector_transfer_success.png,figure,included
scientific_reports_revision_20260521\release_package\figures\protocol_schematic.png,paper\scientific_reports\figures\protocol_schematic.png,figure,included
scientific_reports_revision_20260521\release_package\figures\qualitative_failure_teaser.png,paper\scientific_reports\figures\qualitative_failure_teaser.png,figure,included
scientific_reports_revision_20260521\release_package\figures\Clean_success_PickCube_crop_median_depth_grounding_dino_same_shape_distractor_L0_seed5.pdf,paper\scientific_reports\figures\maniskill_qualitative\maniskill_qualitative\Clean_success_PickCube_crop_median_depth_grounding_dino_same_shape_distractor_L0_seed5.pdf,figure,included
scientific_reports_revision_20260521\release_package\figures\Depth_invalid_PickClutterYCB_box_center_depth_first_detection_partial_target_occlusion_L3_seed20.pdf,paper\scientific_reports\figures\maniskill_qualitative\maniskill_qualitative\Depth_invalid_PickClutterYCB_box_center_depth_first_detection_partial_target_occlusion_L3_seed20.pdf,figure,included
scientific_reports_revision_20260521\release_package\figures\Low_IoU_but_3D_success_PickCube_box_center_depth_grounding_dino_partial_target_occlusion_L2_seed4.pdf,paper\scientific_reports\figures\maniskill_qualitative\maniskill_qualitative\Low_IoU_but_3D_success_PickCube_box_center_depth_grounding_dino_partial_target_occlusion_L2_seed4.pdf,figure,included
scientific_reports_revision_20260521\release_package\figures\maniskill_qualitative_figure.pdf,paper\scientific_reports\figures\maniskill_qualitative\maniskill_qualitative\maniskill_qualitative_figure.pdf,figure,included
scientific_reports_revision_20260521\release_package\figures\No_detection_PickClutterYCB_crop_trimmed_median_depth_grounding_dino_depth_sparsity_L2_seed35.pdf,paper\scientific_reports\figures\maniskill_qualitative\maniskill_qualitative\No_detection_PickClutterYCB_crop_trimmed_median_depth_grounding_dino_depth_sparsity_L2_seed35.pdf,figure,included
scientific_reports_revision_20260521\release_package\figures\Wrong_detection_PickClutterYCB_crop_median_depth_grounding_dino_partial_target_occlusion_L2_seed9.pdf,paper\scientific_reports\figures\maniskill_qualitative\maniskill_qualitative\Wrong_detection_PickClutterYCB_crop_median_depth_grounding_dino_partial_target_occlusion_L2_seed9.pdf,figure,included
scientific_reports_revision_20260521\release_package\figures\maniskill_qualitative_main_figure.pdf,paper\scientific_reports\figures\maniskill_qualitative_main_figure.pdf,figure,included
scientific_reports_revision_20260521\release_package\figures\open_vocab_detector_transfer_no_detection.pdf,paper\scientific_reports\figures\open_vocab_detector_transfer_no_detection.pdf,figure,included
scientific_reports_revision_20260521\release_package\figures\open_vocab_detector_transfer_success.pdf,paper\scientific_reports\figures\open_vocab_detector_transfer_success.pdf,figure,included
scientific_reports_revision_20260521\release_package\figures\protocol_schematic.pdf,paper\scientific_reports\figures\protocol_schematic.pdf,figure,included
scientific_reports_revision_20260521\release_package\figures\qualitative_failure_teaser.pdf,paper\scientific_reports\figures\qualitative_failure_teaser.pdf,figure,included
scientific_reports_revision_20260521\release_package\paper\scientific_reports\main.tex,paper\scientific_reports\main.tex,manuscript,included
scientific_reports_revision_20260521\release_package\paper\scientific_reports\references.bib,paper\scientific_reports\references.bib,manuscript,included
scientific_reports_revision_20260521\release_package\paper\scientific_reports\sections\code_availability.tex,paper\scientific_reports\sections\code_availability.tex,manuscript,included
scientific_reports_revision_20260521\release_package\paper\scientific_reports\sections\data_availability.tex,paper\scientific_reports\sections\data_availability.tex,manuscript,included
scientific_reports_revision_20260521\release_package\paper\scientific_reports\sections\discussion.tex,paper\scientific_reports\sections\discussion.tex,manuscript,included
scientific_reports_revision_20260521\release_package\paper\scientific_reports\sections\introduction.tex,paper\scientific_reports\sections\introduction.tex,manuscript,included
scientific_reports_revision_20260521\release_package\paper\scientific_reports\sections\methods.tex,paper\scientific_reports\sections\methods.tex,manuscript,included
scientific_reports_revision_20260521\release_package\paper\scientific_reports\sections\related_work.tex,paper\scientific_reports\sections\related_work.tex,manuscript,included
scientific_reports_revision_20260521\release_package\paper\scientific_reports\sections\results.tex,paper\scientific_reports\sections\results.tex,manuscript,included
scientific_reports_revision_20260521\release_package\configs\experiments\main_v1_ieee_access.yaml,configs\experiments\main_v1_ieee_access.yaml,experiment config,included
scientific_reports_revision_20260521\release_package\configs\experiments\open_vocab_bridge_v2.yaml,configs\experiments\open_vocab_bridge_v2.yaml,experiment config,included
scientific_reports_revision_20260521\release_package\configs\experiments\open_vocab_bridge_v2_ycb_clutter_heldout.yaml,configs\experiments\open_vocab_bridge_v2_ycb_clutter_heldout.yaml,experiment config,included
scientific_reports_revision_20260521\release_package\configs\experiments\open_vocab_query_ablation_ycb_clutter.yaml,configs\experiments\open_vocab_query_ablation_ycb_clutter.yaml,experiment config,included
scientific_reports_revision_20260521\release_package\configs\experiments\closed_loop_sanity_smoke.yaml,configs\experiments\closed_loop_sanity_smoke.yaml,experiment config,included
scientific_reports_revision_20260521\release_package\configs\experiments\closed_loop_oracle_calibration_v2_smoke.yaml,configs\experiments\closed_loop_oracle_calibration_v2_smoke.yaml,experiment config,included
scientific_reports_revision_20260521\release_package\configs\experiments\closed_loop_oracle_calibration_v2.yaml,configs\experiments\closed_loop_oracle_calibration_v2.yaml,experiment config,included
scientific_reports_revision_20260521\release_package\configs\experiments\open_vocab_true_name_query_ablation_ycb_clutter.yaml,configs\experiments\open_vocab_true_name_query_ablation_ycb_clutter.yaml,experiment config,included
scientific_reports_revision_20260521\release_package\scripts\generate_scirep_revision_assets.py,scripts\generate_scirep_revision_assets.py,script,included
scientific_reports_revision_20260521\release_package\scripts\analyze_open_vocab_bridge_v2.py,scripts\analyze_open_vocab_bridge_v2.py,script,included
scientific_reports_revision_20260521\release_package\scripts\analyze_ieee_access_statistics.py,scripts\analyze_ieee_access_statistics.py,script,included
scientific_reports_revision_20260521\release_package\scripts\analyze_threshold_sensitivity.py,scripts\analyze_threshold_sensitivity.py,script,included
scientific_reports_revision_20260521\release_package\scripts\generate_stressor_table.py,scripts\generate_stressor_table.py,script,included
scientific_reports_revision_20260521\release_package\scripts\export_maniskill_qualitative_renders.py,scripts\export_maniskill_qualitative_renders.py,script,included
scientific_reports_revision_20260521\release_package\scripts\run_h200_open_vocab_query_ablation_queue.sh,scripts\run_h200_open_vocab_query_ablation_queue.sh,script,included
scientific_reports_revision_20260521\release_package\scripts\probe_maniskill_target_names.py,scripts\probe_maniskill_target_names.py,script,included
scientific_reports_revision_20260521\release_package\scripts\run_h200_closed_loop_oracle_calibration_v2.sh,scripts\run_h200_closed_loop_oracle_calibration_v2.sh,script,included
scientific_reports_revision_20260521\release_package\scripts\run_h200_true_name_probe_and_ablation.sh,scripts\run_h200_true_name_probe_and_ablation.sh,script,included
scientific_reports_revision_20260521\release_package\scripts\analyze_oracle_failure_breakdown.py,scripts\analyze_oracle_failure_breakdown.py,script,included
scientific_reports_revision_20260521\release_package\CODE_DATA_RELEASE_METADATA.md,generated,metadata,included
